id:ID,name,:LABEL
10毫米,10毫米,Biology
1600米至3500米,1600米至3500米,Other
1869年3月,1869年3月,Other
1869年4月1日,1869年4月1日,Other
1978年,1978年,Other
49个县,49个县,Place
5mm,5mm,Biology
800万年,800万年,Other
800万年前,800万年前,Other
83~200余天（特例324天）,83~200余天（特例324天）,Biology
三月竹笋,三月竹笋,Biology
下到山谷,下到山谷,Entity
不需要冬眠,不需要冬眠,Behavior
东南季风的迎风面,东南季风的迎风面,Other
中低山地区,中低山地区,Habitat
中暑,中暑,Entity
串入住宅,串入住宅,Entity
串入山村小寨,串入山村小寨,Entity
临近求婚期,临近求婚期,Behavior
争斗,争斗,Entity
云南元谋,云南元谋,Place
云南禄丰,云南禄丰,Place
云雾缭绕,云雾缭绕,Other
亚高山暗针叶林,亚高山暗针叶林,Habitat
亲善,亲善,Entity
优选采食,优选采食,Behavior
伸展,伸展,Behavior
低头不露真容,低头不露真容,Behavior
低血糖,低血糖,Entity
住宅,住宅,Place
体外侧厚于体内侧,体外侧厚于体内侧,Biology
体背部厚于腹侧,体背部厚于腹侧,Biology
体重,体重,Biology
体重1~2公斤,体重1~2公斤,Biology
体重80~120公斤,体重80~120公斤,Biology
体长,体长,Biology
体长160~180厘米,体长160~180厘米,Biology
佳佳,佳佳,Entity
侦察情况,侦察情况,Behavior
侧躺,侧躺,Behavior
便血,便血,Entity
保存能量,保存能量,Biology
修筑公路,修筑公路,Other
俯卧,俯卧,Behavior
免疫系统,免疫系统,Biology
八月竹,八月竹,Biology
其它植物,其它植物,Biology
兽舍,兽舍,Habitat
内八字慢吞吞行走,内八字慢吞吞行走,Behavior
内八字慢吞吞行走,内八字慢吞吞行走,Entity
内脏,内脏,Biology
农业垦殖,农业垦殖,Other
冷箭竹,冷箭竹,Biology
凉山,凉山,Habitat
减小活动范围,减小活动范围,Behavior
减少社会活动,减少社会活动,Behavior
出血性肠炎,出血性肠炎,Entity
分泌物,分泌物,Biology
初乳促进免疫系统发育,初乳促进免疫系统发育,Biology
