id:ID,name,:LABEL
10~14kg,10~14kg,Other
10多个小时,10多个小时,Other
10毫米,10毫米,Other
120克,120克,Other
12属、60多种,12属、60多种,Other
1600米至3500米,1600米至3500米,Other
160~180厘米,160~180厘米,Other
17kg,17kg,Other
18--20岁,18--20岁,Other
1864只,1864只,Other
1869年,1869年,Other
1869年4月1日,1869年4月1日,Other
1978年,1978年,Other
1~2公斤,1~2公斤,Other
20以下的缓坡地形,20以下的缓坡地形,Other
20公斤,20公斤,Other
215只,215只,Other
225克,225克,Other
23~40kg,23~40kg,Other
258万公顷,258万公顷,Other
2~4个小时,2~4个小时,Other
30岁,30岁,Other
324天,324天,Other
33.2%,33.2%,Other
40余家,40余家,Other
42.8克,42.8克,Other
46.2%,46.2%,Other
49个县,49个县,Place
50%,50%,Other
51克,51克,Other
5mm,5mm,Other
5~13个小时,5~13个小时,Other
633只,633只,Other
67个,67个,Other
700m到3500m,700m到3500m,Other
75%,75%,Other
7~9月,7~9月,Other
800万年,800万年,Other
800万年前,800万年前,Other
80~120公斤,80~120公斤,Other
80~150公斤,80~150公斤,Other
83~200余天,83~200余天,Other
99%,99%,Other
一到两周,一到两周,Other
一岁,一岁,Other
一岁半,一岁半,Other
一岁半到性成熟前,一岁半到性成熟前,Other
一岁半前,一岁半前,Other
一年半到两年,一年半到两年,Other
一百万到几百万年,一百万到几百万年,Other
一百万到几百万年以前,一百万到几百万年以前,Other
三个月,三个月,Other
三到四只雄性追求一只发情雌性,三到四只雄性追求一只发情雌性,Other
三月竹笋,三月竹笋,Species
上百的大群,上百的大群,Other
不停地走来走去,不停地走来走去,Behavior
不能行走,不能行走,Behavior
不足17%,不足17%,Other
不需要冬眠,不需要冬眠,Biology
东南亚,东南亚,Place
东南季风的迎风面,东南季风的迎风面,Place
丝状地衣松萝,丝状地衣松萝,Biology
两广,两广,Place
中低山地区,中低山地区,Habitat
中暑,中暑,Disease
丰容,丰容,Entity
临近求婚期,临近求婚期,Other
为动物提供更多的选择机会,为动物提供更多的选择机会,Behavior
主食竹类随山系变化,主食竹类随山系变化,Behavior
云南元谋,云南元谋,Place
云南禄丰,云南禄丰,Place
亚高山暗针叶林,亚高山暗针叶林,Habitat
人为的干扰,人为的干扰,Other
会阴部,会阴部,Biology
伪拇指,伪拇指,Biology
伸展,伸展,Behavior
低头不露真容,低头不露真容,Behavior
低能量的食物,低能量的食物,Biology
低血糖,低血糖,Disease
住宅,住宅,Place
体内外寄生虫病,体内外寄生虫病,Disease
体背部厚于腹侧，体外侧厚于体内侧,体背部厚于腹侧，体外侧厚于体内侧,Biology
佳佳,佳佳,Entity
使动物表现出正常的行为,使动物表现出正常的行为,Behavior
侦察情况,侦察情况,Behavior
侧躺,侧躺,Behavior
便血,便血,Disease
促进其他植物更新，保持物种及生态系统多样性,促进其他植物更新，保持物种及生态系统多样性,Biology
保存能量,保存能量,Biology
俯卧,俯卧,Behavior
免疫系统,免疫系统,Biology
全国,全国,Entity
八月竹,八月竹,Species
六到八周,六到八周,Other
关怀看望,关怀看望,Behavior
兽舍,兽舍,Habitat
内八字慢吞吞行走,内八字慢吞吞行走,Behavior
内八字慢吞吞行走,内八字慢吞吞行走,Entity
冷箭竹,冷箭竹,Species
凉山,凉山,Habitat
出血性肠炎,出血性肠炎,Disease
初乳,初乳,Entity
刺竹,刺竹,Species
刻板行为,刻板行为,Entity
前掌蒙面,前掌蒙面,Behavior
前肢直伸打哈欠,前肢直伸打哈欠,Behavior
剥树皮,剥树皮,Behavior
动脉硬化,动脉硬化,Disease
北京动物园,北京动物园,Place
北京附近周口店,北京附近周口店,Place
北背玉山竹,北背玉山竹,Species
