id:ID,name,:LABEL
1-1.5岁,1-1.5岁,Other
1-3天,1-3天,Other
1/900,1/900,Other
100-150克,100-150克,Other
11只,11只,Other
12-38公斤,12-38公斤,Other
1800只,1800只,Other
1岁左右,1岁左右,Other
1次,1次,Other
2000万年前,2000万年前,Other
2003年,2003年,Other
200万年前,200万年前,Other
2014年10月,2014年10月,Other
2016年,2016年,Other
2016年9月,2016年9月,Other
2023年,2023年,Other
2024-2025年,2024-2025年,Other
2024年5月,2024年5月,Other
2024年6月,2024年6月,Other
2025年7月,2025年7月,Other
300万年,300万年,Other
40天,40天,Other
6-9个月龄,6-9个月龄,Other
600万公顷,600万公顷,Other
600只,600只,Other
700万年前,700万年前,Other
中国,中国,Entity
中国大熊猫保护研究中心,中国大熊猫保护研究中心,Entity
凉山,凉山,Place
四川,四川,Place
四川成都、攀枝花等地警方,四川成都、攀枝花等地警方,Entity
圈养大熊猫,圈养大熊猫,Entity
圈养大熊猫幼崽,圈养大熊猫幼崽,Entity
大熊猫,大熊猫,PandaKind
大熊猫“和盛”,大熊猫“和盛”,Entity
大熊猫“雪雪”,大熊猫“雪雪”,Entity
大熊猫与熊科其他成员,大熊猫与熊科其他成员,Entity
大熊猫幼崽,大熊猫幼崽,Entity
大熊猫野化放归项目,大熊猫野化放归项目,Entity
孟菲斯动物园,孟菲斯动物园,Place
岷山,岷山,Place
旅美大熊猫“丫丫”,旅美大熊猫“丫丫”,Entity
棕色大熊猫,棕色大熊猫,Alias
特制窝窝头,特制窝窝头,Other
甘肃,甘肃,Place
秦岭,秦岭,Place
胡萝卜,胡萝卜,Species
苹果,苹果,Species
邛崃山,邛崃山,Place
都江堰市人民法院,都江堰市人民法院,Entity
野生大熊猫,野生大熊猫,Entity
野生大熊猫幼崽,野生大熊猫幼崽,Entity
野生大熊猫数量约1800只,野生大熊猫数量约1800只,Entity
陕西,陕西,Place
陕西秦岭亚种,陕西秦岭亚种,Species
黄喉貂,黄喉貂,Species
