id:ID,name,:LABEL
1-3天,1-3天,Biology
1/900,1/900,Biology
10-12小时,10-12小时,Behavior
10-12小时,10-12小时,Disease
100-150克,100-150克,Biology
11只,11只,Other
12-38公斤,12-38公斤,Biology
1800只,1800只,Other
1次,1次,Biology
2000万年前,2000万年前,Biology
200万年前,200万年前,Biology
2024-2025年,2024-2025年,Disease
300万年,300万年,Biology
5年,5年,Other
600只,600只,Other
700万年前,700万年前,Biology
90%,90%,Other
中国大熊猫保护研究中心,中国大熊猫保护研究中心,Entity
中国大熊猫保护研究中心,中国大熊猫保护研究中心,Person
中国大熊猫野化放归项目,中国大熊猫野化放归项目,Entity
交换个体,交换个体,Treatment
伪拇指,伪拇指,Biology
体温调节,体温调节,Biology
保护,保护,Species
健康检查或科研过程,健康检查或科研过程,Entity
冷冻精液,冷冻精液,Treatment
凉山,凉山,Habitat
剥竹皮,剥竹皮,Behavior
双重伪装假说,双重伪装假说,Biology
发情期,发情期,Behavior
受惊,受惊,Behavior
四川,四川,Place
四川成都、攀枝花等地警方,四川成都、攀枝花等地警方,Entity
圈养大熊猫,圈养大熊猫,Entity
大熊猫,大熊猫,PandaKind
大熊猫,大熊猫,Person
大熊猫,大熊猫,Species
大熊猫基地,大熊猫基地,Entity
大熊猫宝力,大熊猫宝力,Entity
大熊猫幼崽,大熊猫幼崽,Entity
大熊猫毛色,大熊猫毛色,Entity
始熊猫,始熊猫,Biology
小熊猫,小熊猫,Biology
岷山,岷山,Habitat
强化的头骨和下颌肌肉,强化的头骨和下颌肌肉,Biology
强壮的咀嚼肌和牙齿,强壮的咀嚼肌和牙齿,Biology
抓握竹子,抓握竹子,Behavior
抓握竹子,抓握竹子,Biology
折竹茎,折竹茎,Behavior
护崽,护崽,Behavior
收取粉丝捐款,收取粉丝捐款,Species
政府拨款,政府拨款,Species
数百平方米,数百平方米,Habitat
无法完全分解竹子纤维,无法完全分解竹子纤维,Biology
易危,易危,Other
棕熊,棕熊,Biology
棕熊,棕熊,Species
正规大熊猫基地,正规大熊猫基地,Entity
母兽带崽,母兽带崽,Behavior
流量变现,流量变现,Species
熊科,熊科,Biology
熊科动物,熊科动物,Biology
玩耍,玩耍,Behavior
甘肃,甘肃,Place
白某某、徐某等犯罪分子,白某某、徐某等犯罪分子,Entity
白色,白色,Biology
直播,直播,Species
直播打赏,直播打赏,Species
短视频,短视频,Species
社交,社交,Behavior
科研,科研,Species
科研合作,科研合作,Species
秦岭,秦岭,Habitat
秦岭亚种,秦岭亚种,Species
移动,移动,Behavior
竹子,竹子,Biology
竹子残渣,竹子残渣,Biology
第六指,第六指,Biology
肌肉放松,肌肉放松,Biology
能分解纤维素的肠道菌群,能分解纤维素的肠道菌群,Biology
腕骨特化,腕骨特化,Biology
腕骨特化形成的第六指,腕骨特化形成的第六指,Biology
觅食,觅食,Behavior
进食,进食,Behavior
适应纤维素分解的肠道菌群,适应纤维素分解的肠道菌群,Biology
适应食竹生活的进化特征,适应食竹生活的进化特征,Biology
造谣者,造谣者,Entity
遗传管理计划,遗传管理计划,Treatment
邛崃山,邛崃山,Habitat
采血操作,采血操作,Behavior
门票收入,门票收入,Species
陕西,陕西,Place
饲养,饲养,Species
饲养团队,饲养团队,Entity
黄喉貂,黄喉貂,Biology
黄喉貂,黄喉貂,Species
黑熊,黑熊,Biology
黑色,黑色,Biology
