id:ID,name,:LABEL
107cm,107cm,Other
112克,112克,Other
122克,122克,Other
191克,191克,Other
197克,197克,Other
2006年4月28日,2006年4月28日,Other
2007年1月12日,2007年1月12日,Other
2007年2月19日,2007年2月19日,Other
2012年3月,2012年3月,Other
2014年6月22日,2014年6月22日,Other
2017年2月2日,2017年2月2日,Other
2021年12月17日,2021年12月17日,Other
2022年3月21日,2022年3月21日,Other
2023年2月1日,2023年2月1日,Other
2023年3月14日,2023年3月14日,Other
2023年9月3日,2023年9月3日,Other
2024年6月12日,2024年6月12日,Other
2024年8月16日,2024年8月16日,Other
2025年10月20日,2025年10月20日,Other
2025年11月24日,2025年11月24日,Other
2025年11月26日,2025年11月26日,Other
2025年1月24日,2025年1月24日,Other
2027年,2027年,Other
65kg,65kg,Other
上海动物园,上海动物园,Place
中国保护大熊猫研究中心核桃坪野化培训基地,中国保护大熊猫研究中心核桃坪野化培训基地,Place
中国大熊猫保护研究中心,中国大熊猫保护研究中心,Place
中国大熊猫保护研究中心卧龙核桃坪野化培训基地,中国大熊猫保护研究中心卧龙核桃坪野化培训基地,Place
中国大熊猫保护研究中心卧龙神树坪基地,中国大熊猫保护研究中心卧龙神树坪基地,Place
中国大熊猫保护研究中心核桃坪野化培训基地,中国大熊猫保护研究中心核桃坪野化培训基地,Place
中国大熊猫保护研究中心都江堰基地,中国大熊猫保护研究中心都江堰基地,Place
中国成都,中国成都,Place
乐乐,乐乐,Person
人工抚育,人工抚育,Treatment
原发性脑瘤（肥胖细胞型星形胶质细胞瘤）,原发性脑瘤（肥胖细胞型星形胶质细胞瘤）,Disease
台北木栅动物园,台北木栅动物园,Place
喜妹,喜妹,Person
四川宝兴县野外,四川宝兴县野外,Place
四川宝兴蜂桶寨自然保护区,四川宝兴蜂桶寨自然保护区,Place
四川栗子坪国家级自然保护区,四川栗子坪国家级自然保护区,Place
大熊猫久久,大熊猫久久,Entity
大熊猫乐乐,大熊猫乐乐,Entity
大熊猫八喜,大熊猫八喜,Entity
大熊猫团团,大熊猫团团,Entity
大熊猫园润,大熊猫园润,Entity
大熊猫圆仔,大熊猫圆仔,Entity
大熊猫圆圆,大熊猫圆圆,Entity
大熊猫安安,大熊猫安安,Entity
大熊猫宝力,大熊猫宝力,Entity
大熊猫宝新,大熊猫宝新,Entity
大熊猫心心,大熊猫心心,Entity
大熊猫成功,大熊猫成功,Entity
大熊猫欢欢,大熊猫欢欢,Entity
大熊猫润玥,大熊猫润玥,Entity
大熊猫盈盈,大熊猫盈盈,Entity
大熊猫盼盼,大熊猫盼盼,Entity
大熊猫祥祥,大熊猫祥祥,Entity
大熊猫福宝,大熊猫福宝,Entity
大熊猫福茹,大熊猫福茹,Entity
大熊猫福菀,大熊猫福菀,Entity
大熊猫科比,大熊猫科比,Entity
大熊猫美兰,大熊猫美兰,Entity
大熊猫莽仔,大熊猫莽仔,Entity
大熊猫萌萌,大熊猫萌萌,Entity
大熊猫高高,大熊猫高高,Entity
成都大熊猫繁育研究基地,成都大熊猫繁育研究基地,Place
成都大熊猫繁育研究基地月亮产房,成都大熊猫繁育研究基地月亮产房,Place
映雪,映雪,Person
津柯,津柯,Person
消化道感染伴凝血功能障碍,消化道感染伴凝血功能障碍,Disease
深圳野生动物园,深圳野生动物园,Place
美国亚特兰大动物园,美国亚特兰大动物园,Place
美国孟菲斯动物园,美国孟菲斯动物园,Place
芦芦,芦芦,Person
萨马兰奇,萨马兰奇,Person
蜂桶寨自然保护区,蜂桶寨自然保护区,Place
西班牙马德里动物园,西班牙马德里动物园,Place
都江堰基地,都江堰基地,Place
重庆动物园,重庆动物园,Place
韦华,韦华,Person
韩国爱宝乐园,韩国爱宝乐园,Place
领地防卫行为,领地防卫行为,Behavior
香港海洋公园,香港海洋公园,Place
香港海洋公园熊猫馆,香港海洋公园熊猫馆,Place
