id:ID,name,:LABEL
100多公斤,100多公斤,Other
10只,10只,Other
179.8克,179.8克,Other
21公斤,21公斤,Other
25岁,25岁,Other
40公斤,40公斤,Other
89公斤,89公斤,Other
Bace2基因纯合25-bp缺失,Bace2基因纯合25-bp缺失,Biology
Bace2基因纯合25-bp缺失,Bace2基因纯合25-bp缺失,Entity
专属蛋糕及场地,专属蛋糕及场地,Other
中国,中国,Place
中国动物园协会,中国动物园协会,Person
中国大熊猫保护研究中心碧峰峡基地,中国大熊猫保护研究中心碧峰峡基地,Place
中国大熊猫保护研究中心耿达神树坪基地,中国大熊猫保护研究中心耿达神树坪基地,Place
中国香港,中国香港,Place
中方专家组,中方专家组,Person
五周岁,五周岁,Other
人来疯,人来疯,Alias
公众,公众,Other
六周岁,六周岁,Other
减小黑素体数量与尺寸,减小黑素体数量与尺寸,Biology
勇勇,勇勇,Person
北京动物园,北京动物园,Place
北京动物园大熊猫馆新馆,北京动物园大熊猫馆新馆,Place
十二周岁,十二周岁,Other
啃咬竹叶,啃咬竹叶,Behavior
喜妹,喜妹,Person
喜鹊,喜鹊,Species
四胎母亲,四胎母亲,Other
大熊猫,大熊猫,Alias
大熊猫七仔,大熊猫七仔,Entity
大熊猫七仔的棕白毛色,大熊猫七仔的棕白毛色,Entity
大熊猫丫丫,大熊猫丫丫,Entity
大熊猫乐乐,大熊猫乐乐,Person
大熊猫八仔,大熊猫八仔,Person
大熊猫家姐,大熊猫家姐,Entity
大熊猫星一,大熊猫星一,Entity
大熊猫正正,大熊猫正正,Entity
大熊猫皓月,大熊猫皓月,Entity
大熊猫盈盈,大熊猫盈盈,Person
大熊猫秦华,大熊猫秦华,Person
大熊猫秦华、八仔、荣荣,大熊猫秦华、八仔、荣荣,Entity
大熊猫荣荣,大熊猫荣荣,Person
大熊猫萌兰,大熊猫萌兰,Entity
大熊猫雅一,大熊猫雅一,Entity
岳阳中华大熊猫苑,岳阳中华大熊猫苑,Place
常染色体隐性,常染色体隐性,Biology
慢性骨髓炎,慢性骨髓炎,Disease
成都大熊猫繁育研究基地,成都大熊猫繁育研究基地,Place
成都大熊猫繁育研究基地专家组,成都大熊猫繁育研究基地专家组,Person
敏捷爬树,敏捷爬树,Behavior
星蓉,星蓉,Person
星雅,星雅,Person
最年长初次成功产子的大熊猫,最年长初次成功产子的大熊猫,Other
棕白毛色,棕白毛色,Biology
浙江正辉照明工程有限公司,浙江正辉照明工程有限公司,Person
熊猫国际组织,熊猫国际组织,Person
秦岭地区,秦岭地区,Place
竹竿划伤,竹竿划伤,Disease
美兰,美兰,Person
美国孟菲斯动物园,美国孟菲斯动物园,Entity
美国孟菲斯动物园,美国孟菲斯动物园,Place
自由体操形象,自由体操形象,Other
芦芦,芦芦,Person
萌萌,萌萌,Person
身形圆润、状态悠闲,身形圆润、状态悠闲,Other
透明亚克力板,透明亚克力板,Other
铁皮贴护,铁皮贴护,Other
陕西佛坪国家级自然保护区,陕西佛坪国家级自然保护区,Place
陕西省珍稀野生动物抢救饲养研究中心,陕西省珍稀野生动物抢救饲养研究中心,Place
陕西省西安市周至县秦岭四宝科学公园,陕西省西安市周至县秦岭四宝科学公园,Place
