:START_ID,:END_ID,:TYPE,source_file,evidence,category
大熊猫七仔,秦岭地区,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,大熊猫七仔（谱系号802），雄性，2009年出生于秦岭地区,熊猫资料
大熊猫七仔,陕西省西安市周至县秦岭四宝科学公园,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,现生活于陕西省西安市周至县秦岭四宝科学公园,熊猫资料
大熊猫七仔,陕西佛坪国家级自然保护区,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2009年11月1日，该幼崽在陕西佛坪国家级自然保护区因虚弱脱水被救护,熊猫资料
大熊猫七仔,大熊猫,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,因其罕见的棕白毛色被誉为“宝中之宝”和“巧克力熊”,熊猫资料
大熊猫七仔的棕白毛色,Bace2基因纯合25-bp缺失,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,经中国科学院魏辅文院士团队研究，七仔的棕白毛色由Bace2基因纯合25-bp缺失导致,熊猫资料
Bace2基因纯合25-bp缺失,减小黑素体数量与尺寸,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,该突变通过减小黑素体数量与尺寸使毛发呈棕色,熊猫资料
大熊猫七仔的棕白毛色,常染色体隐性,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,遗传模式为常染色体隐性,熊猫资料
大熊猫七仔,大熊猫秦华,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,截至2024年，七仔后代包括“大熊猫秦华”“大熊猫八仔”“大熊猫荣荣”等,熊猫资料
大熊猫七仔,大熊猫八仔,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,截至2024年，七仔后代包括“大熊猫秦华”“大熊猫八仔”“大熊猫荣荣”等,熊猫资料
大熊猫七仔,大熊猫荣荣,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,截至2024年，七仔后代包括“大熊猫秦华”“大熊猫八仔”“大熊猫荣荣”等,熊猫资料
大熊猫秦华、八仔、荣荣,棕白毛色,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,均未遗传其棕白毛色,熊猫资料
大熊猫七仔,熊猫国际组织,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,熊猫国际组织于2019年宣布终身认养七仔,熊猫资料
大熊猫七仔,89公斤,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,其体重从救护初期89公斤增至100多公斤,熊猫资料
大熊猫七仔,100多公斤,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,其体重从救护初期89公斤增至100多公斤,熊猫资料
大熊猫七仔,40公斤,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,每日进食竹量达40公斤,熊猫资料
大熊猫七仔,喜鹊,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2026年，有网友发现两只喜鹊从七仔身上薅取毛发用于筑巢,熊猫资料
大熊猫丫丫,北京动物园,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,大熊猫丫丫，又称丫丫，谱系号507，雌性，2000年8月3日出生于北京动物园,熊猫资料
大熊猫丫丫,大熊猫乐乐,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,母亲为大熊猫乐乐（谱系号320）,熊猫资料
大熊猫丫丫,美国孟菲斯动物园,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2003年4月，大熊猫丫丫与雄性大熊猫乐乐（谱系号466）一同旅居美国孟菲斯动物园,熊猫资料
美国孟菲斯动物园,中国动物园协会,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2013年，大熊猫“乐乐”和“丫丫”为期10年的租借期结束后，孟菲斯动物园与中国动物园协会签订协议，将租借期再延长10年,熊猫资料
大熊猫丫丫,中国,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2022年12月21日，美国孟菲斯动物园宣布，将把旅美大熊猫“丫丫”归还中国,熊猫资料
大熊猫丫丫,中方专家组,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2023年2月伴侣乐乐去世后，中方专家组赴美参与护理,熊猫资料
大熊猫丫丫,25岁,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2025年8月3日，丫丫迎来了25岁生日,熊猫资料
大熊猫丫丫,身形圆润、状态悠闲,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2026年1月30日，北京动物园更新丫丫近况，身形圆润、状态悠闲，和之前“判若两熊”,熊猫资料
大熊猫萌兰,成都大熊猫繁育研究基地,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,萌兰（外文名：Meng Lan），谱系号954，雄性大熊猫，2015年7月4日出生于成都大熊猫繁育研究基地,熊猫资料
大熊猫萌兰,179.8克,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,出生体重179.8克,熊猫资料
大熊猫萌兰,美兰,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,其父为美兰，其母为萌萌,熊猫资料
大熊猫萌兰,萌萌,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,其父为美兰，其母为萌萌,熊猫资料
大熊猫萌兰,大熊猫,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,昵称包括“西直门三太子”“么么儿”等（因生活在北京动物园西直门外大街得名）,熊猫资料
大熊猫萌兰,慢性骨髓炎,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,萌兰2017年5月23日被确诊为慢性骨髓炎,熊猫资料
大熊猫萌兰,成都大熊猫繁育研究基地,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,经成都大熊猫繁育研究基地治疗后康复,熊猫资料
大熊猫萌兰,铁皮贴护,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2024年10月15日再次攀爬围栏后，北京动物园采取铁皮贴护的临时措施，并于10月21日将防护措施升级优化为透明亚克力板,熊猫资料
大熊猫萌兰,透明亚克力板,RELATED_TO,D:\panda\docs\熊猫资料\熊猫资料_补录8只.md,2024年10月15日再次攀爬围栏后，北京动物园采取铁皮贴护的临时措施，并于10月21日将防护措施升级优化为透明亚克力板,熊猫资料
