id:ID,name,:LABEL
2002年12月5日,2002年12月5日,Other
2007年3月26日,2007年3月26日,Other
2009年7月19日,2009年7月19日,Other
2010年9月9日,2010年9月9日,Other
2013年,2013年,Other
2015年1月13日,2015年1月13日,Other
2016年,2016年,Other
2021年,2021年,Other
50万美元,50万美元,Other
休息时常调整姿态面向镜头,休息时常调整姿态面向镜头,Behavior
兴兴,兴兴,Alias
卧龙中国保护大熊猫研究中心,卧龙中国保护大熊猫研究中心,Place
双性,双性,Biology
呕吐物误吸入肺导致窒息,呕吐物误吸入肺导致窒息,Disease
大熊猫嫣嫣,大熊猫嫣嫣,Entity
大熊猫爽爽,大熊猫爽爽,Entity
大熊猫锦竹,大熊猫锦竹,Entity
大熊猫雅莉,大熊猫雅莉,Entity
大熊猫龙龙,大熊猫龙龙,Entity
宝宝,宝宝,Species
广州动物园,广州动物园,Place
德国柏林自然博物馆,德国柏林自然博物馆,Place
成都大熊猫繁育研究基地,成都大熊猫繁育研究基地,Place
"散步迈""猫步""","散步迈""猫步""",Behavior
文莉,文莉,Species
旦旦,旦旦,Alias
柏林动物园,柏林动物园,Place
繁育困难,繁育困难,Biology
美美,美美,Alias
胃功能衰竭,胃功能衰竭,Disease
莉莉,莉莉,Species
迪普根,迪普根,Person
采食时善用食材摆造型,采食时善用食材摆造型,Behavior
