id:ID,name,:LABEL
1014,1014,Other
1076,1076,Other
1094,1094,Other
1139,1139,Other
113公斤,113公斤,Biology
118日龄开始爬动,118日龄开始爬动,Biology
1193,1193,Other
1265,1265,Other
146克,146克,Biology
165克,165克,Biology
169克,169克,Biology
187.4克,187.4克,Biology
2001年12月17日,2001年12月17日,Biology
2001年12月17日,2001年12月17日,Other
2001年9月28日,2001年9月28日,Biology
2002年7月12日,2002年7月12日,Biology
2005年8月31日,2005年8月31日,Biology
2006年8月10日,2006年8月10日,Biology
2006年8月10日,2006年8月10日,Other
2006年8月23日,2006年8月23日,Biology
2006年8月6日,2006年8月6日,Biology
2006年9月11日,2006年9月11日,Biology
2007年8月10日,2007年8月10日,Biology
2008年8月5日,2008年8月5日,Biology
2010年7月15日,2010年7月15日,Biology
2012年9月12日,2012年9月12日,Biology
2012年9月12日,2012年9月12日,Other
2013年8月18日,2013年8月18日,Biology
2013年8月18日,2013年8月18日,Other
2014年6月30日,2014年6月30日,Biology
2014年7月18日,2014年7月18日,Biology
2015年,2015年,Biology
2015年8月31日,2015年8月31日,Biology
2015年9月16日,2015年9月16日,Biology
2015年9月16日,2015年9月16日,Other
2016年7月14日,2016年7月14日,Biology
2017年7月8日,2017年7月8日,Biology
2017年8月4日,2017年8月4日,Biology
2018年7月17日,2018年7月17日,Biology
2019年7月28日,2019年7月28日,Biology
2021年7月31日,2021年7月31日,Biology
2021年8月8日,2021年8月8日,Biology
2023年4月19日,2023年4月19日,Biology
212克,212克,Biology
249克,249克,Biology
539,539,Biology
539,539,Other
540,540,Other
548,548,Other
620,620,Other
628,628,Other
631,631,Other
638,638,Other
650,650,Other
676,676,Other
718,718,Biology
718,718,Other
769,769,Other
857,857,Other
890,890,Other
914,914,Other
917,917,Other
983,983,Other
986,986,Other
Yuan Meng,Yuan Meng,Alias
丁丁,丁丁,Person
七七,七七,Alias
七七,七七,Entity
上海野生动物园,上海野生动物园,Habitat
上野动物园,上野动物园,Habitat
世界野生动植物日,世界野生动植物日,Other
中国,中国,Place
中国大熊猫保护研究中心,中国大熊猫保护研究中心,Habitat
中国大熊猫保护研究中心卧龙神树坪基地,中国大熊猫保护研究中心卧龙神树坪基地,Habitat
中国大熊猫保护研究中心核桃坪基地,中国大熊猫保护研究中心核桃坪基地,Habitat
中国大熊猫保护研究中心核桃坪野化培训基地,中国大熊猫保护研究中心核桃坪野化培训基地,Habitat
中国大熊猫保护研究中心神树坪基地,中国大熊猫保护研究中心神树坪基地,Habitat
中国大熊猫保护研究中心绵阳基地,中国大熊猫保护研究中心绵阳基地,Habitat
