:START_ID,:END_ID,:TYPE,source_file,evidence,category
友友,1271,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,大熊猫友友，雄性，谱系号1271,熊猫资料
友友,雄性,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,大熊猫友友，雄性，谱系号1271,熊猫资料
友友,西班牙马德里动物园,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2021年9月6日与双胞胎哥哥“久久”出生于西班牙马德里动物园,熊猫资料
友友,2021年9月6日,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2021年9月6日与双胞胎哥哥“久久”出生于西班牙马德里动物园,熊猫资料
友友,花嘴巴,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,母亲为大熊猫“花嘴巴”,熊猫资料
友友,友友,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2021年12月17日，马德里动物园为其举行百日命名仪式，兄弟俩分别获中文名“友友”和“久久”,熊猫资料
友友,西班牙马德里动物园建园50周年庆典,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2022年3月21日，这对双胞胎在动物园建园50周年庆典中完成首次公开亮相,熊猫资料
友友,冰星,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2024年2月29日，友友作为旅居西班牙大熊猫家族成员（包含父亲“冰星”、母亲“花嘴巴”、姐姐“竹莉娜”及兄长“久久”）启程返回中国,熊猫资料
友友,竹莉娜,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2024年2月29日，友友作为旅居西班牙大熊猫家族成员（包含父亲“冰星”、母亲“花嘴巴”、姐姐“竹莉娜”及兄长“久久”）启程返回中国,熊猫资料
友友,久久,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2024年2月29日，友友作为旅居西班牙大熊猫家族成员（包含父亲“冰星”、母亲“花嘴巴”、姐姐“竹莉娜”及兄长“久久”）启程返回中国,熊猫资料
友友,中国,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2024年2月29日，友友作为旅居西班牙大熊猫家族成员（包含父亲“冰星”、母亲“花嘴巴”、姐姐“竹莉娜”及兄长“久久”）启程返回中国,熊猫资料
友友,成都大熊猫繁育研究基地,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,现家族成员已进入成都大熊猫繁育研究基地接受隔离检疫,熊猫资料
友友,广州动物园,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2025年9月，大熊猫“友友”前往广州动物园开展为期5年的科普交流活动,熊猫资料
友友,广州动物园新建大熊猫馆,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,9月16日，兄弟俩乘南航CZ3414航班从成都抵穗，入住新建大熊猫馆,熊猫资料
友友,十五运会倒计时20天活动,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2025年10月20日，友友与久久在十五运会倒计时20天之际正式向公众展出,熊猫资料
雅奥,583,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,雅奥（2004年8月13日-2022年3月4日），谱系号583，雄性大熊猫，出生于中国大熊猫保护研究中心核桃坪基地,熊猫资料
雅奥,雄性,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,雅奥（2004年8月13日-2022年3月4日），谱系号583，雄性大熊猫，出生于中国大熊猫保护研究中心核桃坪基地,熊猫资料
雅奥,中国大熊猫保护研究中心核桃坪基地,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,雅奥（2004年8月13日-2022年3月4日），谱系号583，雄性大熊猫，出生于中国大熊猫保护研究中心核桃坪基地,熊猫资料
雅奥,2004年8月13日,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,雅奥（2004年8月13日-2022年3月4日）,熊猫资料
雅奥,2022年3月4日,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,雅奥（2004年8月13日-2022年3月4日）,熊猫资料
雅奥,2022,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,雅奥（2004年8月13日-2022年3月4日）,熊猫资料
雅奥,公主,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,母亲为大熊猫公主,熊猫资料
雅奥,格格,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,其名源于雅典奥运会，兄弟姐妹包括格格、郡主、丽丽等12只大熊猫,熊猫资料
雅奥,郡主,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,其名源于雅典奥运会，兄弟姐妹包括格格、郡主、丽丽等12只大熊猫,熊猫资料
雅奥,丽丽,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,其名源于雅典奥运会，兄弟姐妹包括格格、郡主、丽丽等12只大熊猫,熊猫资料
雅奥,上海野生动物园,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2006年4月1日，雅奥迁居上海野生动物园，成为该园的常驻大熊猫,熊猫资料
雅奥,肠梗阻,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2022年2月25日出现食欲减退，次日确诊肠梗阻，经手术治疗后短暂好转。3月4日因术后并发症引发窒息性休克，经抢救无效死亡，终年18岁。,熊猫资料
雅奥,窒息性休克,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,3月4日因术后并发症引发窒息性休克，经抢救无效死亡，终年18岁。,熊猫资料
爱浜,663,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,爱浜，雌性大熊猫，谱系号663，2006年12月23日与双胞胎弟弟明浜出生于日本和歌山白浜野生动物园,熊猫资料
爱浜,雌性,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,爱浜，雌性大熊猫，谱系号663，2006年12月23日与双胞胎弟弟明浜出生于日本和歌山白浜野生动物园,熊猫资料
爱浜,日本和歌山白浜野生动物园,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,爱浜，雌性大熊猫，谱系号663，2006年12月23日与双胞胎弟弟明浜出生于日本和歌山白浜野生动物园,熊猫资料
爱浜,2006年12月23日,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,爱浜，雌性大熊猫，谱系号663，2006年12月23日与双胞胎弟弟明浜出生于日本和歌山白浜野生动物园,熊猫资料
爱浜,成都大熊猫繁育研究基地,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2012年12月14日与明浜一同回到中国成都大熊猫繁育研究基地,熊猫资料
爱浜,陕西省珍稀野生动物抢救饲养研究中心,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2017年3月迁至陕西省珍稀野生动物抢救饲养研究中心,熊猫资料
爱浜,成都,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2023年11月返归成都,熊猫资料
爱浜,全球当年首只大熊猫幼仔,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2016年5月6日在成都产下全球当年首只大熊猫幼仔,熊猫资料
爱浜,带带,RELATED_TO,D:\panda\sandbox\starmap_ingest_chunks\百度百科熊猫星图13\part_01.md,2017年6月12日于陕西诞下双胞胎雄性幼仔带带（谱系号1068）和路路（谱系号1069）,熊猫资料
