id:ID,name,:LABEL
1011,1011,Other
105克,105克,Biology
1117,1117,Other
1123,1123,Other
1183,1183,Other
120公斤,120公斤,Biology
125克,125克,Biology
152,152,Other
152克,152克,Biology
174.1克,174.1克,Biology
1972年,1972年,Biology
1978年9月8日,1978年9月8日,Biology
1988年,1988年,Other
1992年12月20日,1992年12月20日,Biology
1997年8月2日,1997年8月2日,Other
2000年8月22日,2000年8月22日,Other
2000年9月6日,2000年9月6日,Biology
2000年9月6日,2000年9月6日,Other
2000年秋,2000年秋,Other
2003年12月,2003年12月,Biology
2003年8月,2003年8月,Other
2005年7月9日,2005年7月9日,Biology
2005年7月9日,2005年7月9日,Other
2006年12月23日,2006年12月23日,Other
2008年10月,2008年10月,Other
2008年9月6日,2008年9月6日,Biology
2009年5月27日,2009年5月27日,Other
2009年7月15日,2009年7月15日,Biology
2012年1月15日,2012年1月15日,Behavior
2012年1月15日,2012年1月15日,Biology
2013年7月10日,2013年7月10日,Biology
2013年9月28日,2013年9月28日,Other
2014年7月26日,2014年7月26日,Other
2015年11月6日,2015年11月6日,Other
2015年1月,2015年1月,Other
2015年8月2日,2015年8月2日,Biology
2015年8月9日,2015年8月9日,Other
2016年7月11日,2016年7月11日,Other
2017年10月4日,2017年10月4日,Biology
2017年12月,2017年12月,Other
2018年4月26日,2018年4月26日,Biology
2018年5月23日,2018年5月23日,Other
2019年6月28日,2019年6月28日,Biology
2019年8月10日,2019年8月10日,Biology
2019年8月4日,2019年8月4日,Biology
2020年,2020年,Disease
2020年4月9日,2020年4月9日,Biology
2020年4月9日,2020年4月9日,Disease
2020年7月23日,2020年7月23日,Biology
2021-05-31,2021-05-31,Biology
2021年5月31日,2021年5月31日,Biology
2022年8月3日,2022年8月3日,Behavior
2023年8月2日,2023年8月2日,Biology
2023年8月4日,2023年8月4日,Behavior
2024年10月,2024年10月,Other
2024年12月,2024年12月,Other
2024年12月8日,2024年12月8日,Biology
2024年9月26日,2024年9月26日,Biology
2025年11月25日,2025年11月25日,Behavior
2026年6月18日,2026年6月18日,Other
2027年,2027年,Other
27公斤,27公斤,Biology
444,444,Other
455,455,Other
505,505,Other
518,518,Other
521,521,Other
595,595,Other
662,662,Other
736,736,Other
740,740,Other
743,743,Other
868,868,Other
961,961,Other
969,969,Other
万人迷,万人迷,Alias
上海野生动物园,上海野生动物园,Habitat
上海野生动物园,上海野生动物园,Place
中中,中中,Person
中华大熊猫苑,中华大熊猫苑,Place
中国,中国,Place
中国大熊猫保护研究中心,中国大熊猫保护研究中心,Habitat
中国大熊猫保护研究中心,中国大熊猫保护研究中心,Place
中国大熊猫保护研究中心卧龙神树坪基地,中国大熊猫保护研究中心卧龙神树坪基地,Habitat
中国大熊猫保护研究中心卧龙神树坪基地,中国大熊猫保护研究中心卧龙神树坪基地,Place
中国大熊猫保护研究中心卧龙神树坪基地（中华大熊猫苑）,中国大熊猫保护研究中心卧龙神树坪基地（中华大熊猫苑）,Habitat
中国大熊猫保护研究中心卧龙神树坪基地（中华大熊猫苑）,中国大熊猫保护研究中心卧龙神树坪基地（中华大熊猫苑）,Place
中国大熊猫保护研究中心核桃坪野化培训基地,中国大熊猫保护研究中心核桃坪野化培训基地,Habitat
中国大熊猫保护研究中心核桃坪野化培训基地,中国大熊猫保护研究中心核桃坪野化培训基地,Place
中国大熊猫保护研究中心神树坪基地,中国大熊猫保护研究中心神树坪基地,Habitat
中国大熊猫保护研究中心雅安碧峰峡基地,中国大熊猫保护研究中心雅安碧峰峡基地,Habitat
中国大熊猫保护研究中心雅安碧峰峡基地,中国大熊猫保护研究中心雅安碧峰峡基地,Place
中国梦,中国梦,Other
中央政府,中央政府,Person
二丫头,二丫头,Person
二顺,二顺,Person
云南野生动物园,云南野生动物园,Place
佳佳,佳佳,Person
健康状况良好,健康状况良好,Biology
元晶,元晶,Entity
兰香,兰香,Species
兴兴,兴兴,Person
凤凰中华大熊猫苑,凤凰中华大熊猫苑,Habitat
凤凰中华大熊猫苑,凤凰中华大熊猫苑,Place
创创,创创,Person
勇勇,勇勇,Person
北京动物园,北京动物园,Habitat
北京动物园,北京动物园,Place
北京动物园十三陵饲养场,北京动物园十三陵饲养场,Place
北京动物园大熊猫馆奥运馆,北京动物园大熊猫馆奥运馆,Habitat
升谊,升谊,Alias
升谊,升谊,Entity
华盛顿国家动物园,华盛顿国家动物园,Habitat
华盛顿国家动物园,华盛顿国家动物园,Place
卧龙核桃坪野化培训基地,卧龙核桃坪野化培训基地,Habitat
卯卯,卯卯,Alias
厦门灵玲动物王国熊猫馆,厦门灵玲动物王国熊猫馆,Habitat
叉腰熊,叉腰熊,Alias
双双,双双,Species
古锥,古锥,Alias
可可,可可,Person
和花,和花,Person
哈兰,哈兰,Person
嘟嘟,嘟嘟,Person
四川,四川,Place
四川北川,四川北川,Place
四川北川大熊猫文旅消费季启动仪式,四川北川大熊猫文旅消费季启动仪式,Place
四川宝兴,四川宝兴,Place
四川宝兴蜂桶寨国家级自然保护区,四川宝兴蜂桶寨国家级自然保护区,Habitat
四川宝兴蜂桶寨国家级自然保护区张嘎山,四川宝兴蜂桶寨国家级自然保护区张嘎山,Place
四川省大凉山美姑县野外,四川省大凉山美姑县野外,Habitat
四川省宝兴县野外,四川省宝兴县野外,Habitat
因病抢救无效死亡,因病抢救无效死亡,Disease
园园,园园,Person
园子,园子,Entity
圆仔,圆仔,Alias
圆仔,圆仔,Person
圆嘟嘟,圆嘟嘟,Person
圆梦,圆梦,Person
圣迭戈动物园,圣迭戈动物园,Place
塔基丁,塔基丁,Person
大头宝宝,大头宝宝,Alias
婷婷,婷婷,Person
安安,安安,Entity
安安,安安,Person
安宝,安宝,Person
宝兴野生大熊猫,宝兴野生大熊猫,Species
宝宝,宝宝,Species
屏屏,屏屏,Person
帅帅,帅帅,Person
干妈,干妈,Behavior
平平,平平,Person
广州,广州,Place
广州动物园,广州动物园,Place
广州长隆野生动物世界,广州长隆野生动物世界,Habitat
广州长隆野生动物世界,广州长隆野生动物世界,Place
广西柳州市动物园,广西柳州市动物园,Habitat
广西柳州市动物园,广西柳州市动物园,Place
